timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523080530933185,-2,-1,0,-3,-25,-15,-13,-32
1523080530933185,64,-3,-11,-4,8,24,8,-14
1523080530946184,-18,8,5,4,17,-2,20,22
1523080530946184,0,14,12,6,9,9,-10,0
1523080530955190,4,7,-9,-41,-2,13,10,-5
1523080530955190,-11,-7,1,15,-3,-7,-10,-62
1523080530961196,-5,-5,4,-1,12,7,11,1
1523080530961196,9,-13,-27,-32,10,8,1,-80
1523080530970201,23,2,1,-1,-42,-30,5,81
1523080530970201,4,6,-1,-37,21,-2,-11,1
1523080530984228,-23,3,-10,3,6,7,-7,-19
1523080530984228,3,12,-13,-7,3,15,16,-12
1523080531000222,11,1,7,37,17,-20,-18,-39
1523080531000222,-18,-3,-1,-23,0,-3,-4,9
1523080531006238,12,-8,-2,-16,-11,-4,-22,-2
1523080531006238,-3,-11,13,44,-11,16,46,13
1523080531023238,-8,0,9,-6,-7,-5,-8,-6
1523080531023238,-5,2,11,21,-6,-2,2,20
1523080531024241,1,-4,3,19,-9,-4,-11,-23
1523080531024241,-2,3,20,27,14,1,-36,9
1523080531030243,8,-6,-16,6,-39,-17,12,20
1523080531030243,-12,-2,-4,13,5,30,57,22
1523080531044253,2,-2,-10,-5,-17,-12,1,-2
1523080531044253,27,4,2,-39,5,18,4,8
1523080531053280,-28,6,-4,-23,18,-11,-33,8
1523080531053280,29,-14,-14,-20,4,-17,-22,-81
1523080531066283,-64,5,-2,-23,3,-8,19,-9
1523080531066283,11,9,3,-24,16,28,16,26
1523080531075277,-18,-15,-17,-25,-19,-12,-16,-50
1523080531075277,-5,-26,-4,18,-16,1,10,-95
1523080531081283,114,24,14,-31,5,8,36,101
1523080531081283,55,34,22,-32,12,-14,-5,-119
1523080531090288,30,-8,11,74,20,0,-1,-63
1523080531090288,-108,10,-6,-34,0,-12,-27,-12
1523080531103306,24,-24,18,74,-21,7,-13,-55
1523080531103306,39,-57,-15,-66,-27,-14,4,87
1523080531112330,27,44,-12,-90,7,2,-3,7
1523080531112330,-9,75,49,96,-4,-12,1,1
1523080531126328,46,9,22,40,39,18,-9,34
1523080531126328,-68,-75,0,-63,0,-6,16,-41
1523080531143326,-17,-27,-12,-9,-15,4,-11,-103
1523080531143326,-10,-22,-10,-93,-29,-20,7,92
1523080531144326,-43,95,-42,-127,14,2,-19,40
1523080531144326,37,127,71,33,17,5,7,83
1523080531150330,18,-62,-50,40,-12,3,53,127
1523080531150330,-56,-11,38,51,10,5,-66,-108
1523080531163341,19,91,-49,-34,7,-7,-6,48
1523080531163341,-2,-44,3,70,20,3,-11,-43
1523080531172344,113,-44,-11,-7,20,-8,0,-48
1523080531172344,10,43,26,83,5,19,25,67
